Account type,Year,Name
Lobbyist Organisations,2016,Benchmark Strategies
Lobbyist,2016,Eugene Blair Benson
Lobbyist,2016,Daniel Bensonoff
Lobbyist,2016,Ryan James Berard
Lobbyist,2016,Harris E Berenson
Lobbyist,2016,Michael Bergan (Beacon Strategies Group)
Lobbyist,2016,Noah Berger
Lobbyist,2016,Leslie Bernal
Lobbyist,2016,"Lynda Bernard (The Brennan Group, Inc.)"
Lobbyist,2016,Arthur Bernard (Travaglini Eisenberg Kiley LLC)
Lobbyist,2016,Keith C. Bernhardt
Lobbyist,2016,"Robert Bernstein (Bay State Strategies Group, LLC)"
Lobbyist,2016,Daniel Berwick
Lobbyist,2016,Janet Gail Besser
Lobbyist,2016,Nathan Betnun
Lobbyist,2016,Laura C. Bickel
Lobbyist,2016,Christienne Killeen Bik
Lobbyist,2016,Katherine Andrews Bilotas
Lobbyist,2016,Bruce Loring Bird
Lobbyist,2016,Thomas Birmingham
Lobbyist,2016,Jeffery Bishop
Lobbyist,2016,Amy Blankenbiller
Lobbyist,2016,Julia Blatt
Lobbyist,2016,Gary Howard Blumenthal
Lobbyist,2016,William L Boffi
Lobbyist,2016,Ashley Bogle
Lobbyist,2016,Stephen Bokanski (RAI Services Company)
Lobbyist,2016,Stephen A. Boksanski (Shanley Fleming Boksanski & Cahill)
Lobbyist,2016,Jon N. Bonsall (Keegan Werlin LLP)
Lobbyist,2016,Alan B. Borgal
Lobbyist,2016,Stephanie Bosh
Lobbyist,2016,Daniel Edward Bosley (Dan Bosley Consulting Services)
Lobbyist Organisations,2016,"Boston Strategic Consulting, LLC"
Lobbyist,2016,Kevin Bourque
Lobbyist,2016,Ruth A Bourquin
Lobbyist,2016,Allison Rhea Bovell
Lobbyist Organisations,2016,"Bowditch Consulting Group, LLC"
Lobbyist,2016,Julianne Bowler
Lobbyist,2016,Amy E Boyd
Lobbyist,2016,Catherine Camp Boyle
Lobbyist,2016,Robert G Bradford
Lobbyist,2016,james m bradford
Lobbyist,2016,Erin G. Bradley
Lobbyist,2016,Beverley Brakeman
Lobbyist,2016,EDWARD BRAY
Lobbyist,2016,Maryanne Bray
Lobbyist,2016,Carole Brennan (Brown Rudnick LLP)
Lobbyist,2016,Peter Brennan
Lobbyist,2016,Timothy J. Brennan
Lobbyist,2016,"Edward J Brennan, Jr (Law Office of Edward J. Brennan, Jr)"
Lobbyist,2016,Marc I Breslow
Lobbyist,2016,Elizabeth Brewer
Lobbyist Organisations,2016,Brian M. Quigley
Lobbyist Organisations,2016,Brian P. Lees
Lobbyist Organisations,2016,"Brian S. Hickey Associates, Inc."
Lobbyist,2016,stacey burks briggs
Lobbyist,2016,Dustin B Brighton
Lobbyist,2016,Robert J. Brink
Lobbyist,2016,Kerry A. Britland
Lobbyist,2016,Nathan Robert Broad
Lobbyist,2016,Donna Brown
Lobbyist,2016,Edward Philip Brown
Lobbyist,2016,Susan Elizabeth Brown
Lobbyist,2016,Donna Lyn Brown
Lobbyist,2016,Rebecca Zoe Brown
Lobbyist,2016,Douglas Scott Brown
Lobbyist,2016,Chenelle Brown
Lobbyist Organisations,2016,Brown Rudnick LLP
Lobbyist,2016,Karyn E Brownell
Lobbyist,2016,Thomas Brownlie
Lobbyist,2016,Joshua Carl Bruno
Lobbyist,2016,Daniel Bryant
Lobbyist,2016,David Allen Bryant
Lobbyist,2016,Christopher Buchanan
Lobbyist Organisations,2016,Buchanan & Associates
Lobbyist,2016,Kevin Buckley
Lobbyist,2016,Edward Buckley
Lobbyist,2016,Selecca Bulgar-Medina (Locke Lord Public Policy Group LLC)
Lobbyist,2016,"Stephen Buoniconti (Buoniconti & McCary, LLC)"
Lobbyist Organisations,2016,"Buoniconti & McCary, LLC"
Lobbyist,2016,Stephen Paul Burgay
Lobbyist,2016,John P Burke (Beacon Hill Consulting Group)
Lobbyist,2016,John P. Burke (Burke Strategies)
Lobbyist,2016,Richard Patrick Burke
Lobbyist,2016,Marnie Burke
Lobbyist Organisations,2016,Burke Strategies
Lobbyist,2016,Will Burns
Lobbyist,2016,William A. Burns
Lobbyist,2016,Carolyn B Burton
Lobbyist,2016,Katherine Bridget Butler
Lobbyist,2016,Judith A Butler
Lobbyist,2016,Mehreen N Butt
Lobbyist,2016,Kelly Buttiglieri
Lobbyist,2016,David Byram
Lobbyist,2016,DANIEL MICHAEL CADOGAN
Lobbyist,2016,Maria Cahill
Lobbyist,2016,Patrick D Cahill
Lobbyist,2016,Daniel Cahill (Locke Lord Public Policy Group LLC)
Lobbyist,2016,David Cahill (RAI Services Company)
Lobbyist,2016,David D. Cahill (Shanley Fleming Boksanski & Cahill)
Lobbyist,2016,"William J Cahill, Jr."
Lobbyist,2016,Owen Caine
Lobbyist,2016,Vanessa Leigh Calaban
Lobbyist,2016,Lawrence Anthony Calderone
Lobbyist,2016,Michael Caljouw
Lobbyist,2016,Francis X Callahan
Lobbyist,2016,Hugh Cameron
Lobbyist,2016,john robert camillo
Lobbyist,2016,John Campbell
Lobbyist,2016,Marybeth Campbell
Lobbyist,2016,Michael Francis Canavan
Lobbyist,2016,Jean Cantrell
Lobbyist Organisations,2016,"Capital Associates, Inc."
Lobbyist Organisations,2016,Capitol Consulting
Lobbyist,2016,"Robert W Capstick, Jr"
Lobbyist,2016,"Joseph A Capuano (Government Insight Group, LLC)"
Lobbyist,2016,Allen Bradford Card (Card and Associates)
Lobbyist Organisations,2016,Card and Associates
Lobbyist,2016,Jeffrey C Carey
Lobbyist,2016,NAOKA Elizabeth CAREY
Lobbyist,2016,Christopher Richard Carlozzi
Lobbyist,2016,"Ted Carman (Concord Square Planning & Development, Inc.)"
Lobbyist,2016,"Thomas Carney (Boston Strategic Consulting, LLC)"
Lobbyist,2016,Thomas Patrick Carney (Thomas P Carney Associates)
Lobbyist,2016,Paul Eugene Caron (Paul E. Caron Associates)
Lobbyist,2016,Brian Carl Carroll
Lobbyist,2016,James Carvalho
Lobbyist,2016,Heather R Cascone
Lobbyist,2016,Kevin Casey
Lobbyist,2016,John Cashwell
Lobbyist,2016,William Cass (The Suffolk Group)
Lobbyist,2016,Jacob Cassady
Lobbyist,2016,Louis Anthony Cassis
Lobbyist Organisations,2016,Catherine Delvento
Lobbyist,2016,"Daniel Cence (Boston Strategic Consulting, LLC)"
Lobbyist,2016,Pat Cerundolo (Foley Hoag LLP)
Lobbyist,2016,Aaron Michael Chalek
Lobbyist,2016,Erik Champy
Lobbyist,2016,Steven Changaris
Lobbyist,2016,"Christopher Chapman (Pilgrim Strategies, LLC)"
Lobbyist,2016,Shaun Chapman
Lobbyist Organisations,2016,Charles Group Consulting
Lobbyist Organisations,2016,Charles Stefanini Consulting LLC
Lobbyist Organisations,2016,Charles Yelen
Lobbyist Organisations,2016,Charter Communications-REGISTRATION CONVERTED TO CLIENT REGISTRATION.
Lobbyist,2016,Courtney Brooke Chelo
Lobbyist,2016,Jondavid Chesloff
Lobbyist,2016,Sarah Chiaramida
Lobbyist Organisations,2016,Chisholm Consulting LLC
Lobbyist,2016,Chetan Choudhury
Lobbyist,2016,Michael Alexander Chowaniec (Charter Communications-REGISTRATION CONVERTED TO CLIENT REGISTRATION.)
Lobbyist,2016,Michael A. Chowaniec
Lobbyist,2016,Lawrence Chretien
Lobbyist,2016,Michael Christ
Lobbyist,2016,Jeffrey Scott Ciuffreda
Lobbyist Organisations,2016,CK Strategies LLC
Lobbyist,2016,Mary Ann Clancy
Lobbyist Organisations,2016,Clappazzola Partners
Lobbyist,2016,Marjorie O'Neill Clapprood (Clappazzola Partners)
Lobbyist,2016,Troy Clark
Lobbyist,2016,Stephen Clark
Lobbyist,2016,John J. Clarke
Lobbyist,2016,Ann Clarke
Lobbyist,2016,Neil Clarke
Lobbyist,2016,Joseph Cleary
Lobbyist,2016,Brenda Jane Clement
Lobbyist,2016,thomas james clinton
Lobbyist,2016,Heather Anne Clish
Lobbyist,2016,Susan M Coakley
Lobbyist,2016,Martha Coakley (Foley Hoag LLP)
Lobbyist,2016,Thomas Paul Cohan
Lobbyist,2016,Thomas Paul Cohan (Charter Communications-REGISTRATION CONVERTED TO CLIENT REGISTRATION.)
Lobbyist,2016,Robert Neil Cohen (Cohen Strategic Partners)
Lobbyist,2016,Andrew Paul Cohen
Lobbyist Organisations,2016,Cohen Strategic Partners
Lobbyist,2016,Joseph Shapiro Cohn
Lobbyist,2016,Cliff Cohn
Lobbyist,2016,Jay Colbert
Lobbyist,2016,Susan Cole
Lobbyist,2016,Megan Marie Collins
Lobbyist,2016,Nailah Marguerite Taslima Collymore Henry
Lobbyist,2016,"Daniel Combs (DCI Group AZ, LLC)"
Lobbyist Organisations,2016,Compass Consulting LLC
Lobbyist Organisations,2016,"Concord Square Planning & Development, Inc."
Lobbyist,2016,Christopher Sean Condon
Lobbyist,2016,Brian M Condron
Lobbyist,2016,Ashley Coneff
Lobbyist,2016,Danial Congel
Lobbyist,2016,Lydia Desilets Conley
Lobbyist,2016,Thomas J Connelly
Lobbyist,2016,"Daniel J. Connelly (ML Strategies, LLC)"
Lobbyist,2016,Sean Connolly
Lobbyist,2016,Kevin Conroy (Foley Hoag LLP)
Lobbyist,2016,Michelle Consalvo
Lobbyist,2016,"Kevin M. Considine (Considine & Furey, LLP)"
Lobbyist Organisations,2016,"Considine & Furey, LLP"
Lobbyist,2016,Lee Ann Constantine
Lobbyist,2016,Ian T Cooke
Lobbyist,2016,Aimee Coolidge
Lobbyist,2016,Alison Cooper
Lobbyist,2016,John J Corrigan (Corrigan & Associates)
Lobbyist Organisations,2016,Corrigan & Associates
Lobbyist,2016,Martin G Corry (Charles Stefanini Consulting LLC)
Lobbyist,2016,"Martin G. Corry (Corry Associates, LLC)"
Lobbyist,2016,Martin Corry (Public Policy Advisors)
Lobbyist Organisations,2016,"Corry Associates, LLC"
Lobbyist Organisations,2016,Corwin & Corwin LLP
Lobbyist,2016,Andrea M Costa (Preti Strategies)
Lobbyist,2016,Jessica Costantino
Lobbyist,2016,"Neal Brian Costello (Neal B. Costello, Counselor At Law)"
Lobbyist,2016,Michael Costello (Smith Costello & Crawford)
Lobbyist,2016,Danny Cottler
Lobbyist,2016,Margaret A. Coughlan
Lobbyist,2016,Robert K Coughlin
Lobbyist,2016,Karen Grasso Courtney (K. Courtney & Assoc.)
Lobbyist,2016,George Coutros
Lobbyist,2016,Nicholas Covino
Lobbyist,2016,"William M. Cowan (ML Strategies, LLC)"
Lobbyist,2016,John Cox (McGlynn and McGlynn)
Lobbyist,2016,"Julie E. Cox (ML Strategies, LLC)"
Lobbyist,2016,"William F. Coyne, Jr. (William F. Coyne Jr., Esq. P.C.)"
Lobbyist,2016,Benjamin Craft
Lobbyist,2016,Josh Craft
Lobbyist,2016,Jeremy Crandall
Lobbyist,2016,Paul D. Craney
Lobbyist,2016,"Gloria A Craven (Craven & Ober Policy Strategiists, LLC)"
Lobbyist Organisations,2016,"Craven & Ober Policy Strategiists, LLC"
Lobbyist,2016,Cheryl L. Crawford
Lobbyist,2016,Jennifer Crawford (Smith Costello & Crawford)
Lobbyist,2016,Thomas Cremin (Thomas Cremin)
Lobbyist,2016,Victoria Paula Criado
Lobbyist,2016,Angela J Cristiani
Lobbyist,2016,Kade Crockford
Lobbyist,2016,Neil F Cronin
Lobbyist,2016,George Cronin (Rasky Baerlein Strategic Communications)
Lobbyist,2016,Thomas Croswell
Lobbyist,2016,Gregg Croteau
Lobbyist,2016,Jennifer Cruickshank
Lobbyist,2016,Kristen Cullen (Rasky Baerlein Strategic Communications)
Lobbyist,2016,Mary Cummings
Lobbyist,2016,Deirdre C Cummings
Lobbyist,2016,William J. Cunningham
Lobbyist,2016,Donna C Cupelo
Lobbyist,2016,John James Curley
Lobbyist,2016,James Gerard Curley
Lobbyist,2016,Sean Quinn Curran (Waterville Consulting)
Lobbyist,2016,Suzanne Curry
Lobbyist,2016,Eugene R. Curry (Law Office of Eugene R. Curry)
Lobbyist,2016,Michael Anthony Curry
Lobbyist,2016,Susan Curtis
Lobbyist,2016,Lawrence H Curtis
Lobbyist,2016,Melissa Brooke Cushman
Lobbyist,2016,Gregory D'Agostino (Liberty Square Group)
Lobbyist,2016,"Gregory M D'Agostino (Lynch Associates, Inc.)"
Lobbyist,2016,"Peter D'Agostino (Lynch Associates, Inc.)"
Lobbyist,2016,GERARD D'AMICO (OFFICES OF GERARD D'AMICO)
Lobbyist,2016,Darcy DaCosta
Lobbyist,2016,Omar Daghestani
Lobbyist,2016,Emily Elisabeth Dahlgaard
Lobbyist Organisations,2016,Dain Torpy Le Ray Wiest & Garner P.C.
Lobbyist,2016,William Dal Col (Potomac Communications Strategies)
Lobbyist,2016,Ellen M Daley
Lobbyist,2016,Joseph W Dalton
Lobbyist Organisations,2016,Dan Bosley Consulting Services
Lobbyist,2016,Dave Danning
Lobbyist,2016,Justin Michael Davidson
Lobbyist,2016,Russ Davis
Lobbyist,2016,Sara Johnson Davis
Lobbyist,2016,Manolet Dayrit
Lobbyist Organisations,2016,"DCI Group AZ, LLC"
Lobbyist,2016,Angelo De Joseph
Lobbyist,2016,Stephanie Maria DeCandia
Lobbyist,2016,John DeCarlo (The Summit Consulting Group Inc.)
Lobbyist,2016,Keely Ann DeChristopher
Lobbyist,2016,Sheila R. Decter
Lobbyist,2016,"Nicole Horberg Decter (Segal Roitman, LLP)"
Lobbyist,2016,Julie Marie Bolduc DeFilippo
Lobbyist,2016,William D. Delahunt (The Delahunt Group)
Lobbyist,2016,"Mark J Delaney (Delaney & Associates, INC)"
Lobbyist,2016,"Scott J Delaney (Delaney & Associates, INC)"
Lobbyist,2016,"William A. Delaney (Delaney Legislative Services, Inc.)"
Lobbyist,2016,Daniel Joseph Delaney (Delaney Policy Group)
Lobbyist,2016,"Daniel Delaney (Neponset Strategies, LLP)"
Lobbyist Organisations,2016,"Delaney & Associates, INC"
Lobbyist Organisations,2016,"Delaney Legislative Services, Inc."
Lobbyist Organisations,2016,Delaney Policy Group
Lobbyist,2016,Adam Joseph Delmolino
Lobbyist,2016,catherine DelVento (Catherine Delvento)
Lobbyist,2016,"Dominique Ann Demar (Corry Associates, LLC)"
Lobbyist Organisations,2016,Dennis A. Smith Associates
Lobbyist,2016,Edward J Dever (Dever & Dever)
Lobbyist Organisations,2016,Dever & Dever
Lobbyist,2016,"Vincent DeVito (Bowditch Consulting Group, LLC)"
Lobbyist Organisations,2016,Dewey Square Group LLC
Lobbyist Organisations,2016,DGL Healthcare Consulting
Lobbyist,2016,Sean Diamond (Clappazzola Partners)
Lobbyist,2016,Joseph P Diamond
Lobbyist,2016,Lawrence S DiCara (Nixon Peabody LLP)
Lobbyist,2016,Eric W. Dickson
Lobbyist,2016,Kevin S Dietly (Northbridge Environmental Management Consultants)
Lobbyist,2016,Joseph Anthony DiGiovanni
Lobbyist,2016,Vicker V. DiGravio III
Lobbyist,2016,Luke A Dillon
Lobbyist,2016,Richard Dimino
Lobbyist,2016,Amanda Jean DiPietro
Lobbyist,2016,Daniel Franco DiTullio
Lobbyist,2016,Moses Santonio Dixon
Lobbyist Organisations,2016,DLA Piper LLP
Lobbyist,2016,Stephen C. Dodge
Lobbyist,2016,Richard J Doherty
Lobbyist,2016,James Chris Doherty
Lobbyist,2016,Dan Dolan
Lobbyist,2016,Peter Ross Doliber
Lobbyist,2016,Janet Susan Domenitz
Lobbyist,2016,Kate Donaghey
Lobbyist,2016,Zachary M Donah
Lobbyist,2016,Edward Donahue
Lobbyist,2016,Robert Donahue
Lobbyist,2016,Caroline Donahue
Lobbyist,2016,Roger D Donoghue (Murphy Donoghue Partners)
Lobbyist,2016,"Paul T. Donovan (Kearney, Donovan & McGee, P.C.)"
Lobbyist,2016,Darren J. Donovan
Lobbyist,2016,Joseph Donovan (Nelson Mullins)
Lobbyist,2016,Nini Donovan
Lobbyist,2016,Laura Pabst Dooley
Lobbyist,2016,William Dooling
Lobbyist,2016,Laurie Ann Doran
Lobbyist,2016,"Nikki Dostoomian (The Brennan Group, Inc.)"
Lobbyist,2016,Barbara J. Dougan
Lobbyist,2016,Julia Dougherty
Lobbyist,2016,Lyndia Downie
Lobbyist,2016,Nicholas John Downing
Lobbyist,2016,Francis J Doyle
Lobbyist,2016,Darren John Drag
Lobbyist,2016,"Jeffrey Robert Drago (Drago and Toscano, LLP)"
Lobbyist Organisations,2016,"Drago and Toscano, LLP"
Lobbyist,2016,Andrew Dreyfus
Lobbyist,2016,John Matthew Drinkwater
Lobbyist,2016,James F Driscoll
Lobbyist,2016,Richard L Dropski
Lobbyist,2016,Evan Dube
Lobbyist,2016,Anthony Duca
Lobbyist,2016,Shawn Duhamel
Lobbyist,2016,Annette Duke
Lobbyist,2016,Paul D Dullea
Lobbyist,2016,Carine Dumit
Lobbyist,2016,James Dunbar (O'Neill and Associates)
Lobbyist,2016,Hillary Dunn
Lobbyist,2016,Martin J. Dunn (Golden West Associates)
Lobbyist,2016,Mason Jackson Dunn
Lobbyist,2016,Eric C DuPont
Lobbyist,2016,Robert A. Durand (Durand & Anastas Environmental Strategies)
Lobbyist Organisations,2016,Durand & Anastas Environmental Strategies
Lobbyist,2016,James William Durkin
Lobbyist,2016,Katie Durso
Lobbyist,2016,Charles H. Dwyer
Lobbyist,2016,Veronica Eady
Lobbyist,2016,Mark Eagan Eagan
Lobbyist,2016,Patricia Tongue Edraos
Lobbyist Organisations,2016,"Education Development Center, Inc."
Lobbyist,2016,Lydia Edwards
Lobbyist,2016,Ann Eisner
Lobbyist,2016,Kathy J Eklund
Lobbyist Organisations,2016,Ellen Murphy & Associates
Lobbyist,2016,Sandra Ann Ellis
Lobbyist,2016,Susan Rachel Elsen
Lobbyist,2016,Robert Elvert
Lobbyist,2016,Sarah Emilio
Lobbyist,2016,Shelby Susan Emmett
Lobbyist Organisations,2016,"ENE Strategies, LLC"
Lobbyist,2016,Ritchard Engelhardt
Lobbyist,2016,Matthew Engler
Lobbyist,2016,Jenny Ann Erickson
Lobbyist,2016,Kris Erickson (Preti Strategies)
Lobbyist,2016,John Erwin
Lobbyist,2016,Shannon Marie Erwin
Lobbyist,2016,Alexandra E Esielonis (Serlin Haley LLP)
Lobbyist,2016,Daniel Esty (Esty & Associates)
Lobbyist Organisations,2016,Esty & Associates
Lobbyist,2016,Stephanie Alexandra Ettinger de Cuba
Lobbyist,2016,Elizabeth Ewing
Lobbyist,2016,Sana Fadel
Lobbyist,2016,Ira Fader
Lobbyist,2016,Michael Edward Falcone
Lobbyist Organisations,2016,"Families for Excellent Schools Advocacy, Inc."
Lobbyist,2016,Davina Michele Fankhauser
Lobbyist,2016,Patrick James Farrell
Lobbyist,2016,debra Ann Fastino
Lobbyist,2016,Paul Feeney
Lobbyist,2016,Calvin Feliciano
Lobbyist,2016,Daniel Felton
Lobbyist,2016,Sandra Fenwick
Lobbyist,2016,Michael Joseph Ferrante
Lobbyist,2016,Michael Ferrari
Lobbyist Organisations,2016,"Ferriter Scobbo & Rodophele, PC"
Lobbyist,2016,Michael Edward Festa
Lobbyist,2016,Catherine Fichtner
Lobbyist,2016,Lisa Field
Lobbyist,2016,Laurence Matthew Field
Lobbyist Organisations,2016,FIeld First
Lobbyist,2016,"Benjamin Fierro (Lynch & Fierro LLP, Counsellors at Law)"
Lobbyist,2016,Lewis Martin Finfer
Lobbyist,2016,Stephen James Finnegan (Stephen J Finnegan)
Lobbyist,2016,Thomas M Finneran (Finneran Global Strategies)
Lobbyist,2016,Robert C. Finneran (Robert Finneran Consulting Services)
Lobbyist,2016,Thomas Finneran (Smith and Rauschenbach)
Lobbyist Organisations,2016,Finneran Global Strategies
Lobbyist,2016,Christina Fish (O'Neill and Associates)
Lobbyist,2016,FayeRuth Fisher (1199SEIU)
Lobbyist,2016,Christina Fisher
Lobbyist,2016,Thomas Lee Fisher
Lobbyist,2016,Caroline Fisher
Lobbyist,2016,Martin W Fisher (Serlin Haley LLP)
Lobbyist,2016,William B. Fisher (William B. Fisher)
Lobbyist,2016,Matthew Fishman
Lobbyist,2016,Tina Fitanides
Lobbyist,2016,Therese Fitzgerald Fitzgerald
Lobbyist,2016,Corey Elizabeth Fitzgerald
Lobbyist,2016,Jo Ann Fitzgerald
Lobbyist,2016,John F Fitzgerald (New Boston Strategies Group Ltd)
Lobbyist,2016,Maureen Katherine Fitzgerald
Lobbyist,2016,Roberta Fitzpatrick
Lobbyist,2016,JoHanna Flacks-Dunning
Lobbyist,2016,Charles F. Flaherty (Capitol Consulting)
Lobbyist,2016,Catherine Flaherty
Lobbyist,2016,Tierney Rose Flaherty (Ventry Associates LLP)
Lobbyist,2016,Neil Flanagan
Lobbyist,2016,Heriberto Flores
Lobbyist,2016,Kia Floyd
Lobbyist,2016,Christopher P. Flynn
Lobbyist Organisations,2016,Flywheel Government Solutions
Lobbyist,2016,Timothy Foley (1199SEIU)
Lobbyist,2016,Cathey Foley
Lobbyist,2016,John L Foley
Lobbyist Organisations,2016,Foley Hoag LLP
Lobbyist,2016,"Daniel J Foley, Jr. (Massachusetts Association of Insurance Agents)"
Lobbyist,2016,Anna Ford
Lobbyist,2016,Mark Forest (The Delahunt Group)
Lobbyist,2016,Benjamin Forman
Lobbyist,2016,Geoff Foster
Lobbyist,2016,Lauren E Fowler (The Novus Group)
Lobbyist,2016,Donna K. Fox (Compass Consulting LLC)
Lobbyist,2016,Maryanne Frangules
Lobbyist,2016,Jane Frantz
Lobbyist,2016,Debra A. Freed
Lobbyist,2016,Samantha Rae Freedman
Lobbyist,2016,Burton Freedman
Lobbyist,2016,Bradley Freeman
Lobbyist,2016,Lori Fresina (M+R)
Lobbyist,2016,Heather Lynn Friedmann
Lobbyist,2016,Rebecca Frisch
Lobbyist,2016,Dan Fritz
Lobbyist,2016,James Fuccione
Lobbyist,2016,Nicholas A Fyntrilakis
Lobbyist,2016,Peter Austin Gagliardi
Lobbyist,2016,David M Gahl
Lobbyist,2016,Maureen L Gallagher
Lobbyist,2016,James D. Gallagher
Lobbyist,2016,Maureen T. Gallagher
Lobbyist,2016,Mark J. Gallagher
Lobbyist,2016,Geoffrey A. Gallo
Lobbyist,2016,Nomia Ganguly (Gregory and Associates)
Lobbyist,2016,Marisol Garcia
Lobbyist,2016,James George Gardiner
Lobbyist,2016,Melissa L Garlick
Lobbyist,2016,Sean Lawrence Garren
Lobbyist,2016,Gregory Garrison (Northeast Solar)
Lobbyist Organisations,2016,Gary Michael Barrett
Lobbyist,2016,Heather R. Gasper
Lobbyist Organisations,2016,Gateway Public Solutions
Lobbyist,2016,Jamie Hope Gaynes
Lobbyist,2016,Elin A Gaynor
Lobbyist,2016,Mary Geary
Lobbyist,2016,Timothy F. Gens
Lobbyist,2016,Paul Gentile
Lobbyist,2016,Anne C George
Lobbyist,2016,Lance George
Lobbyist,2016,Nancy Gerardi
Lobbyist,2016,Wynn Abigail Gerhard
Lobbyist,2016,Deborah Gesualdo
Lobbyist,2016,Rebekah Gewirtz
Lobbyist,2016,Michael S Giaimo
Lobbyist,2016,"Joseph A. Giannino (Government Relations Group, LLC)"
Lobbyist,2016,Tina Marie Giarla
Lobbyist,2016,Samantha Rose Gibb
Lobbyist,2016,Eugenia T Gibbons
Lobbyist,2016,Jennifer Gibbons
Lobbyist,2016,Sonia Gibson
Lobbyist,2016,Henry S Gillet (HSG & Associates)
Lobbyist,2016,Donald A Gillis
Lobbyist,2016,Amanda D.J. Gilman
Lobbyist,2016,Brian R Gilmore
Lobbyist,2016,Kevin B. Gilnack
Lobbyist,2016,Aimee Gilroy
