,logtime,latitude,longitude,heading,speed,vendorhardwareid
67,2018-02-07 03:22:09,42.33334,-71.080368,162,0,MS120
68,2018-02-07 03:22:18,42.333179,-71.080063,279,4,MS109
69,2018-02-07 03:22:23,42.333172,-71.080109,218,0,MS109
70,2018-02-07 03:22:24,42.333038,-71.07991,329,6,MS136
71,2018-02-07 03:22:39,42.333038,-71.080093,211,0,MS136
72,2018-02-07 03:22:48,42.333519,-71.080513,145,8,MS146
73,2018-02-07 03:23:06,42.333248,-71.08049,214,4,MS146
74,2018-02-07 03:23:12,42.33316,-71.08054399999999,182,0,MS146
75,2018-02-07 03:23:05,42.333228999999996,-71.079399,0,0,MS169
76,2018-02-07 03:23:53,42.333099,-71.079918,342,3,MS115
77,2018-02-07 03:24:11,42.333302,-71.080353,327,0,MS115
78,2018-02-07 03:24:17,42.333302,-71.079437,0,4,MS169
79,2018-02-07 03:24:24,42.333240999999994,-71.07946,211,0,MS169
80,2018-02-07 03:24:31,42.33313,-71.080368,86,4,MS146
81,2018-02-07 03:24:46,42.333221,-71.08017,324,0,MS146
82,2018-02-07 03:24:48,42.333199,-71.079468,216,6,MS169
83,2018-02-07 03:24:54,42.333099,-71.079437,0,0,MS128
84,2018-02-07 03:24:59,42.333511,-71.079178,0,0,MS130
85,2018-02-07 03:25:01,42.333092,-71.079483,255,1,MS128
86,2018-02-07 03:25:04,42.333221,-71.08017,54,3,MS146
87,2018-02-07 03:25:11,42.333,-71.079903,236,6,MS169
88,2018-02-07 03:25:13,42.333519,-71.07916999999999,0,6,MS130
89,2018-02-07 03:25:14,42.332958000000005,-71.07997900000001,231,0,MS169
90,2018-02-07 03:25:21,42.332951,-71.08000200000001,227,3,MS169
91,2018-02-07 03:25:21,42.333038,-71.07981099999999,233,3,MS128
92,2018-02-07 03:25:34,42.33321,-71.0802,54,0,MS146
93,2018-02-07 03:25:37,42.333110999999995,-71.079178,228,11,MS130
94,2018-02-07 03:25:39,42.332829,-71.079773,43,0,MS169
95,2018-02-07 03:25:49,42.333,-71.0802,68,0,MS128
96,2018-02-07 03:25:52,42.332741,-71.07975,290,0,MS130
97,2018-02-07 03:25:54,42.332747999999995,-71.07978100000001,300,3,MS130
98,2018-02-07 03:25:57,42.333012,-71.0802,54,3,MS128
99,2018-02-07 03:26:07,42.333012,-71.0802,51,0,MS128
